strategy,model,budget,metric,value
random,baseline,128,detection.agenda_item.recall,0.2833333333333333
random,baseline,128,detection.agenda_item.f1,0.27769841269841267
random,baseline,128,detection.detail.precision,0.6326400208823262
random,baseline,128,detection.detail.recall,0.8886646977631631
random,baseline,128,detection.detail.f1,0.7243139700296494
random,baseline,128,detection.medication.precision,0.325
random,baseline,128,detection.medication.recall,0.25833333333333336
random,baseline,128,detection.medication.f1,0.26666666666666666
random,baseline,128,detection.social_history.precision,0.0
random,baseline,128,detection.social_history.recall,0.0
random,baseline,128,detection.social_history.f1,0.0
random,baseline,128,detection.follow_up.precision,0.0
random,baseline,128,detection.follow_up.recall,0.0
random,baseline,128,detection.follow_up.f1,0.0
random,baseline,128,detection.question.precision,0.6612293760590975
random,baseline,128,detection.question.recall,0.8710253635253636
random,baseline,128,detection.question.f1,0.7235500936620481
random,baseline,128,detection.question_unanswered.precision,0.0
random,baseline,128,detection.question_unanswered.recall,0.0
random,baseline,128,detection.question_unanswered.f1,0.0
random,baseline,128,detection.irrelevant.precision,0.7873017864765048
random,baseline,128,detection.irrelevant.recall,0.680840930957576
random,baseline,128,detection.irrelevant.f1,0.7176226007413555
random,baseline,128,detection.macro_avg.precision,0.3408755645939078
random,baseline,128,detection.macro_avg.recall,0.3727747073640962
random,baseline,128,detection.macro_avg.f1,0.33873146797476655
random,baseline,128,agenda_completeness,0.3416666666666667
random,baseline,128,hardware.avg_latency_ms,224.8516152464312
random,baseline,128,hardware.total_relevant,28.45
random,baseline,128,hardware.final_buffer_size,9.7
random,baseline,128,hardware.final_buffer_tokens,121.15
random,baseline,256,n_conversations,20.0
random,baseline,256,elapsed_sec,145.8
random,baseline,256,rouge.rouge1,0.6755457478688428
random,baseline,256,rouge.rouge2,0.4911293991287263
random,baseline,256,rouge.rougeL,0.6507481083441133
random,baseline,256,bertscore,0.8696895211935043
random,baseline,256,detection.agenda_item.precision,0.36666666666666664
random,baseline,256,detection.agenda_item.recall,0.275
random,baseline,256,detection.agenda_item.f1,0.2952380952380952
random,baseline,256,detection.detail.precision,0.6347148281892597
random,baseline,256,detection.detail.recall,0.8594226979329281
random,baseline,256,detection.detail.f1,0.7122676596043148
random,baseline,256,detection.medication.precision,0.325
random,baseline,256,detection.medication.recall,0.25
random,baseline,256,detection.medication.f1,0.265
random,baseline,256,detection.social_history.precision,0.0
random,baseline,256,detection.social_history.recall,0.0
random,baseline,256,detection.social_history.f1,0.0
random,baseline,256,detection.follow_up.precision,0.0
random,baseline,256,detection.follow_up.recall,0.0
random,baseline,256,detection.follow_up.f1,0.0
random,baseline,256,detection.question.precision,0.7207287874664036
random,baseline,256,detection.question.recall,0.8537863525363525
random,baseline,256,detection.question.f1,0.7533337886162068
random,baseline,256,detection.question_unanswered.precision,0.0
random,baseline,256,detection.question_unanswered.recall,0.0
random,baseline,256,detection.question_unanswered.f1,0.0
random,baseline,256,detection.irrelevant.precision,0.7787542041219423
random,baseline,256,detection.irrelevant.recall,0.7423390827582439
random,baseline,256,detection.irrelevant.f1,0.7404023220455462
random,baseline,256,detection.macro_avg.precision,0.353233060805534
random,baseline,256,detection.macro_avg.recall,0.3725685166534406
random,baseline,256,detection.macro_avg.f1,0.34578023318802037
random,baseline,256,agenda_completeness,0.27083333333333337
random,baseline,256,hardware.avg_latency_ms,135.305434189679
random,baseline,256,hardware.total_relevant,27.0
random,baseline,256,hardware.final_buffer_size,17.5
random,baseline,256,hardware.final_buffer_tokens,247.75
random,baseline,512,n_conversations,20.0
random,baseline,512,elapsed_sec,49.6
random,baseline,512,rouge.rouge1,0.6754078156151764
random,baseline,512,rouge.rouge2,0.4928783474297388
random,baseline,512,rouge.rougeL,0.6506547687201728
random,baseline,512,bertscore,0.8695830911397934
random,baseline,512,detection.agenda_item.precision,0.35833333333333334
random,baseline,512,detection.agenda_item.recall,0.2625
